Mi; ____ laboras. (I am working.)
Vi; ____ estas mojosa. (You're great.)
Li; ____ kantas. (He sings.)
Ŝi; ____ dormas. (She sleeps.)
Ĝi; ____ sonas bone. (It sounds cool.)
Ni; ____ lernas. (We learn.)
Ili; ____ kuras. (They run.)
Oni; ____ diras, ke la vero ĉiam elvenas. (People say that the truth always comes out.)
min; Ŝi amas ____. (She loves me.)
vin; Mi amas ____. (I love you.)
lin; Ŝi rigardas ____. (She looks at him.)
ŝin; Mi ŝatas ____. (I like her.)
ĝin; Mi manĝis ____. (I ate it.)
nin; Ili vidas ____. (They see us.)
ilin; Ni helpas ____. (We help them.)
Onin; ____ vidas ____ en la spegulo. (One sees oneself in the mirror.)
Mia; ____ hundo estas bela. (My dog is beautiful.)
Via; ____ libro estas interesa. (Your book is interesting.)
Lia; ____ domo estas granda. (His house is big.)
Ŝia; ____ libro estas malmultekosta. (Her book is cheap.)
Ĝia; ____ koloro estas blua. (Its color is blue.)
Nia; ____ teamo gajnas. (Our team is winning.)
Ilia; ____ lernejo estas nova. (Their school is new.)
Onia; ____ opinio estas grava. (One's opinion is important.)
Mi; ____ legas. (I read.)
Vi; ____ kuiras bone. (You cook well.)
Li; ____ saltas. (He jumps.)
Ŝi; ____ desegnas. (She draws.)
Ĝi; ____ brilas. (It shines.)
Ni; ____ ludas. (We play.)
Ili; ____ studas. (They study.)
Oni; ____ scias, ke la tempo estas oro. (People know that time is gold.)
min; La kato sekvas ____. (The cat follows me.)
vin; Ŝi adoras ____. (She adores you.)
lin; Mi vidis ____. (I saw him.)
ŝin; Li protektas ____. (He protects her.)
ĝin; Mi aĉetis ____. (I bought it.)
nin; Vi konas ____. (You know us.)
ilin; Ŝi instruas ____. (She teaches them.)
Onin; ____ devas esti prudenta. (One must be cautious.)
Mia; ____ amiko venis. (My friend came.)
Via; ____ muziko estas bela. (Your music is beautiful.)
Lia; ____ seĝo estas komforta. (His chair is comfortable.)
Ŝia; ____ voĉo estas klara. (Her voice is clear.)
Ĝia; ____ funkcio estas utila. (Its function is useful.)
Nia; ____ urbo estas malgranda. (Our city is small.)
Ilia; ____ festo estis sukcesa. (Their party was successful.)
Onia; ____ elektebleco estas limigita. (One's choices are limited.)
