Kiel vi fartas?;How are you?
Dankon;Thank you.
Mi ne scias;I don't know.
Kie estas la necesejo?;Where is the restroom?
Mi volas ion manĝi;I want to eat something.
Ĉu vi komprenas min?;Do you understand me?
Mi amas vin;I love you.
Kiel vi nomiĝas?;What is your name?
Bonan matenon;Good morning.
Kiel vi fartas?;How are you?
Mi estas malsata;I am hungry.
Ĉu vi povas helpi min?;Can you help me?
Kie estas la stacidomo?;Where is the train station?
Mi ne parolas Esperanton;I don't speak Esperanto.
Kiam vi naskiĝis?;When were you born?
Mi estas perdiĝinta;I am lost.
"Kiel vi diras ""domo"" en Esperanto?";"How do you say ""house"" in Esperanto?"
Ĝis revido;Goodbye.
Mia amiko havas belajn florojn en sia ĝardeno;My friend has beautiful flowers in their garden.
La instruisto trinkas kafon en la kuirejo;The teacher is drinking coffee in the kitchen.
